smiles,DFT_hf
CC#CC(C)=NO,38.71942617
CC(CC#C)=NO,46.65616633
CC(CC=O)=NO,-40.60703751
CC(CCO)=NO,-55.85539105
CCCC(C)=NO,-28.98482921
COCC(C)=NO,-50.36091787
CC(=NO)C(N)=O,-56.58621887
CC(C)C(C)=NO,-28.94717864
CC(O)C(C)=NO,-58.22737696
CC1CC(C1)=NO,7.3058004
CN1CC(C1)=NO,28.46953386
ON=C1CC(O)C1,-21.47929293
ON=C(C#C)C#C,124.2016532
OCC(=NO)C#C,22.69787607
CCC(CC)=NO,-28.06176273
CCC(CO)=NO,-56.73202182
CC1CCC1=NO,7.379219012
CC1NCC1=NO,23.35721396
CC1OCC1=NO,-18.28966214
ON=C1CCC1O,-20.6384302
ON=C1CCC=C1,14.8828503
ON=C1CCCC1,-10.98861156
ON=C1CCOC1,-34.42920648
CC(=NO)C1CC1,8.771662592
CC(=NO)C1CN1,22.22016675
CC(=NO)C1CO1,-19.30560002
ON=C1CC2CC12,47.75493546
ON=C1CC2NC12,66.11809402
ON=C1CC2OC12,23.54438639
ON=C1CN2CC12,65.39457557
CC1=CC(C)=CN1,6.842548626
CC1=CC(C)=CO1,-28.88691289
CC1=CC(N)=CN1,19.41128446
CC1=CC(N)=CO1,-16.6181266
CC1=CC(O)=CN1,-20.56516135
CC1=CC(O)=CO1,-55.59996985
CC1=CNC(N)=C1,18.64823291
CC1=CNC(O)=C1,-21.88230379
CC1=CNC(O)=N1,-27.62743271
CC1=COC(N)=C1,-18.32683496
CC1=COC(N)=N1,-23.11877696
CC1=COC(O)=N1,-60.87885921
CC1=NC(C)=CN1,5.781778121
CC1=NC(C)=CO1,-30.4634962
CC1=NC(N)=CO1,-20.36401025
CC1=NC(O)=CO1,-61.24281472
NC1=CC(N)=CN1,31.18935833
NC1=CC(N)=CO1,-6.23312382
NC1=CC(O)=CN1,-8.741906801
NC1=CNC(O)=C1,-9.33239324
NC1=CNC(O)=N1,-17.21293699
NC1=COC(O)=N1,-51.14081873
NC1=NC(N)=CO1,-13.10400479
NC1=NC(O)=CN1,-16.85211903
NC1=NC(O)=CO1,-54.11646878
OC1=CC(O)=CN1,-49.04026499
CC1=CC=C(C)N1,5.563684265
CC1=CC=C(C)O1,-31.36494791
CC1=CC=C(N)N1,17.4848303
CC1=CC=C(N)O1,-20.36624084
CC1=CC=C(O)N1,-22.92961715
CC1=CN=C(C)O1,-31.36585486
CC1=CN=C(N)O1,-23.62203957
CC1=CN=C(O)N1,-27.19319614
CC1=CN=C(O)O1,-63.52067421
CC1=NC=C(N)O1,-19.88396548
CC1=NC=C(O)N1,-21.40002844
NC1=CC=C(N)O1,-8.696726117
NC1=CC=C(O)O1,-48.75537567
NC1=CN=C(N)O1,-11.78184227
NC1=CN=C(O)N1,-14.63450046
NC1=CN=C(O)O1,-51.96348369
OC1=CC=C(O)N1,-50.26704606
OC1=CN=C(O)N1,-53.81338169
CC1=CNC(=O)N1,-38.08362351
CC1=CNC(=O)O1,-75.36805357
CC1=COC(=O)N1,-74.14880261
CC1=COC(=O)O1,-110.7410897
NC1=CNC(=O)N1,-25.29651437
NC1=COC(=O)N1,-61.62210991
NC1=COC(=O)O1,-99.08224263
OC1=CNC(=O)N1,-64.36997401
OC1=CNC(=O)O1,-102.9935093
OC1=COC(=O)O1,-137.5620783
CN1C=CC(C)=C1,13.05803022
CN1C=CC(N)=C1,25.45545597
CN1C=NC(N)=C1,22.97086641
CN1C=NC(O)=C1,-19.05628045
O=C1C=CNC=C1,-10.96251078
O=C1C=COC=C1,-41.73527476
O=C1C=COC=N1,-38.46058212
O=C1N=COC=N1,-33.69492692
N=C1OC=CC=C1,4.893399266
N=C1OC=CN=C1,18.16431823
N=C1OC=NC=N1,16.00101354
O=C1NC=CC=C1,-20.90602632
O=C1NC=CC=N1,-12.46504797
O=C1NC=CN=C1,-6.900921236
O=C1NC=NC=C1,-15.84732418
O=C1NC=NC=N1,-9.249341234
O=C1OC=CC=C1,-51.54199322
O=C1OC=CC=N1,-42.59524222
O=C1OC=CN=C1,-36.47325954
O=C1OC=NC=C1,-47.54189961
O=C1OC=NC=N1,-40.29005177
CC1=CC=CC=C1,10.63787822
CC1=CC=NC=C1,19.76911702
CC1=CN=CC=C1,20.22719895
CC1=CN=CC=N1,30.51933032
CC1=CN=CN=C1,28.318027
CC1=NC=CC=C1,18.73937393
CC1=NC=CC=N1,25.74774808
CC1=NC=CN=C1,30.51933032
CC1=NC=NC=C1,26.0658954
CC1=NC=NC=N1,31.42768463
NC1=CC=CC=C1,18.23673882
NC1=CN=CC=C1,28.18373996
NC1=CN=CC=N1,33.92768248
